URN:CornellLabOfOrnithology:EBIRD:OBS85856530	2014-07-11 15:59:52	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Kings	US-NY-047					Coney Island Pier	L518788	H	40.5696241	-73.9833203	2010-02-20	11:00:00	obsr162824	Heydi	Lopes	S6015335	eBird - Stationary Count	EBIRD	105			3	1	G148009	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS61132491	2014-01-04 23:37:06	541	species	Bufflehead	Bucephala albeola			86				United States	US	New York	US-NY	Essex	US-NY-031		13			Noblewood Park	L191517	H	44.35428	-73.357956	2008-12-28	13:30:00	obsr17138	Matthew D.	Medler	S4439925	eBird - Traveling Count	EBIRD	105	1.609		2	1	G94798	0	1	0		With Eric Teed.  Overcast, light rain, ~40-45F, calm to light south wind.		
URN:CornellLabOfOrnithology:EBIRD:OBS91602139	2016-07-10 09:03:57	541	species	Bufflehead	Bucephala albeola			2				United States	US	New York	US-NY	Seneca	US-NY-099		13			4523 Rt. 89, Varick	L902089	P	42.806075	-76.7592859	2010-05-06	17:18:00	obsr16990	Jay	McGowan	S6388032	eBird - Stationary Count	EBIRD	20			2	1		0	1	0		Random stop along the highway after we noticed gulls out on the lake. Lucky to pick out a Laughing in the flock, perhaps the same bird reported by refuge staff at the Montezuma visitor center that morning. Went down a driveway and talked to a nice lady to use her shoreline to get a better look, but still distant (or possibly not able to even refind bird from there? I forget.)		
URN:CornellLabOfOrnithology:EBIRD:OBS85870138	2013-10-31 12:26:43	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	New York	US-NY-061	US-NY_2793	30			Central Park	L191106	H	40.7715482	-73.9724819	2010-02-20	13:30:00	obsr187063	Amy	Simmons	S6016126	eBird - Traveling Count	EBIRD	120	4.828		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS79810392	2012-10-19 10:17:04	541	species	Bufflehead	Bucephala albeola			29				United States	US	New York	US-NY	Westchester	US-NY-119	US-NY_2790	30			Croton Point Park	L197982	P	41.1840295	-73.8953974	2009-12-19	08:15:00	obsr111208	Benjamin	Van Doren	S5655929	eBird - Traveling Count	EBIRD	240	8.851		4	1		0	1	0		Peekskill CBC--With Mike Bochnik and Co.--~30 F, breezy, overcast		
URN:CornellLabOfOrnithology:EBIRD:OBS50220487	2017-02-17 16:23:22	541	species	Bufflehead	Bucephala albeola			15				United States	US	New York	US-NY	Kings	US-NY-047		30			Salt Marsh Nature Center at Marine Park	L385839	H	40.599291	-73.9203071	2008-02-25	08:30:00	obsr25741	Ronald	Bourque	S3619305	eBird - Traveling Count	EBIRD	75	3.219		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS82688142	2010-02-02 13:24:48	541	species	Bufflehead	Bucephala albeola			1				United States	US	New York	US-NY	Tompkins	US-NY-109		13			Myers Point Marina	L283458	H	42.5354848	-76.5445054	2010-01-31	10:40:00	obsr16674	Tim	Lenz	S5846904	eBird - Stationary Count	EBIRD	10			2	1	G143832	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS81632251	2014-07-22 00:02:35	541	species	Bufflehead	Bucephala albeola			X				United States	US	New York	US-NY	Kings	US-NY-047	US-NY_1722				Dead Horse Point	L169814	H	40.579594	-73.89466	2010-01-16	11:00:00	obsr106513	Tom	Preston	S5766842	eBird - Traveling Count	EBIRD	30	2.012		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS49233254	2013-12-11 11:44:48	541	species	Bufflehead	Bucephala albeola			2				United States	US	New York	US-NY	Oswego	US-NY-075		13			Brewerton	L248328	P	43.236877	-76.1302146	2008-02-18	11:10:00	obsr14521	Bill	Purcell	S3564573	eBird - Traveling Count	EBIRD	65	1.287		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS102542790	2016-04-06 13:54:17	541	species	Bufflehead	Bucephala albeola			25				United States	US	New York	US-NY	Tompkins	US-NY-109		13			Stewart Park	L99381	H	42.4613413	-76.5054578	2010-11-26	12:20:00	obsr48617	Kevin	Bourinot	S7198161	eBird - Stationary Count	EBIRD	20			4	1		0	1	0			Beck & Landon	
URN:CornellLabOfOrnithology:EBIRD:OBS102541882	2010-12-03 21:07:11	541	species	Bufflehead	Bucephala albeola			15				United States	US	New York	US-NY	Cayuga	US-NY-011		13			Fair Haven SP	L234417	H	43.3435645	-76.6991904	2010-11-29	12:50:00	obsr122326	Donald	Brightsmith	S7198097	eBird - Traveling Count	EBIRD_TX	20	1.609		2	1		0	1	0		with Gaby		
