"URN:CornellLabOfOrnithology:EBIRD:OBS76995788	2014-02-02 08:56:05	1	13	120 Campfire Rd N	L659674	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS76689248	2014-02-13 15:54:34	1	13	** Monkey Run Road	L784698	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325460	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325463	2017-03-09 21:32:19	13	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325474	2017-03-09 21:32:19	4	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325477	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325478	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325475	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS61659362	2009-01-19 13:44:06	1	13	Malta	L196108	T"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325458	2017-03-09 21:32:19	18	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325462	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325471	2017-03-09 21:32:19	10	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS76535978	2013-12-09 17:53:59	2	13	4352 Young Rd	L2228714	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS61217863	2015-02-22 11:23:01	1	13	Coxsackie Creek Grassland Preserve	L293901	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS54470528	2016-02-17 10:53:19	1	13	Home	L342398	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS65669050	2016-09-13 23:25:37	5	13	Rte 17/Schoolhouse Rd. Ramp	 Randolph	L668892"
"URN:CornellLabOfOrnithology:EBIRD:OBS64516994	2014-11-08 08:17:56	2	13	Woodbrooke Road	L344897	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325464	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS74926496	2015-06-16 16:59:19	X	US-NY_1726	13	Montezuma (NMWMA)--Van Dyne Spoor Rd.	L508804"
"URN:CornellLabOfOrnithology:EBIRD:OBS75104748	2013-12-11 11:36:34	1	13	New Haven Elementary School	L168062	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS77239602	2014-02-13 15:54:34	3	13	** Monkey Run Road	L784698	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS65859063	2013-11-15 00:29:29	1	13	Five Rivers EEC	L213239	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS76828616	2015-03-14 15:47:01	2	US-NY_862	30	Prospect Park	L109516"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325476	2017-03-09 21:32:19	3	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325468	2017-03-09 21:32:19	10	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325473	2017-03-09 21:32:19	10	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS77530030	2013-05-21 15:45:02	1	US-NY_1726	13	Van Dyne Spoor Road	L349902"
"URN:CornellLabOfOrnithology:EBIRD:OBS82435528	2013-08-08 11:34:58	1	13	105 Vendome - backyard	L291392	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS66894351	2016-08-16 15:16:57	2	US-NY_755	13	Tifft Nature Preserve	L207765"
"URN:CornellLabOfOrnithology:EBIRD:OBS86898712	2013-01-11 16:38:58	1	30	Upper Lake	 Yaphank	 NY"
"URN:CornellLabOfOrnithology:EBIRD:OBS91198019	2013-12-16 15:53:34	1	28	Prospect Hill - Home	L132545	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS74699826	2016-10-28 16:49:27	3	13	Cornell Botanic Gardens--Mundy Wildflower Garden	L97554	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS81281862	2010-01-15 09:38:53	8	13	morning commute (Schulenberg home-CLO)	L583117	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS65683879	2014-03-03 20:29:40	1	US-NY_1723	13	Braddock Bay--Owl Woods	L390730"
"URN:CornellLabOfOrnithology:EBIRD:OBS82291335	2014-02-01 12:21:16	1	13	Whitestown	L210157	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS95636281	2014-04-19 17:00:34	8	13	Monkey Run--Southeast	L879238	H"
"URN:CornellLabOfOrnithology:EBIRD:OBS98147633	2014-07-29 14:33:41	2	13	ONT-2-SandyBottomNatureTrl	L730856	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS62419020	2009-02-05 01:47:28	1	14	Peru Hawk Owl	L651941	P"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325461	2017-03-09 21:32:19	13	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
"URN:CornellLabOfOrnithology:EBIRD:OBS46325465	2017-03-09 21:32:19	1	US-NY_1726	13	USFWS_268	Montezuma NWR--Mays Point Pool and road"
